latitude,longitude,temperature,humidity,wind_speed,precipitation,visibility,timestamp
37.7749,-122.4194,18.5,75.2,12.3,2.4,8.2,1703080800
37.7849,-122.4094,18.2,76.1,11.8,2.1,8.5,1703080800
37.7949,-122.3994,17.9,77.3,13.2,3.2,7.8,1703080800
37.8049,-122.3894,17.6,74.8,10.5,1.8,9.1,1703080800
37.8149,-122.3794,18.1,75.9,12.1,2.6,8.0,1703080800
37.7649,-122.4294,18.7,74.5,11.2,1.9,8.8,1703080800
37.7549,-122.4394,19.2,78.1,14.5,4.1,6.9,1703080800
37.7449,-122.4494,18.0,73.2,9.8,1.5,9.3,1703080800
37.7349,-122.4594,18.8,76.7,12.8,2.8,7.6,1703080800
37.7249,-122.4694,17.4,72.9,8.9,1.2,9.7,1703080800
37.7749,-122.4194,18.3,76.1,13.1,2.7,7.9,1703080860
37.7849,-122.4094,18.0,77.0,12.5,2.3,8.3,1703080860
37.7949,-122.3994,17.7,78.2,14.1,3.5,7.5,1703080860
37.8049,-122.3894,17.4,75.7,11.2,2.0,8.9,1703080860
37.8149,-122.3794,17.9,76.8,12.8,2.9,7.8,1703080860
37.7649,-122.4294,18.5,75.4,11.9,2.1,8.6,1703080860
37.7549,-122.4394,19.0,79.0,15.2,4.4,6.7,1703080860
37.7449,-122.4494,17.8,74.1,10.5,1.7,9.1,1703080860
37.7349,-122.4594,18.6,77.6,13.5,3.1,7.4,1703080860
37.7249,-122.4694,17.2,73.8,9.6,1.4,9.5,1703080860 